Table 4,,,,,,,,,,,,,,,,,,,,,,,
Crime in the United States1,,,, , , , , ,,,,,,,,,,,,,,,
"by Region, Geographic Division, and State, 2018–2019",,,,,, , ,,,,,,,,,,,,,,,,
Area,Year,Population2,Violent crime3,,"Murder and 
nonnegligent 
manslaughter",,"Rape
(revised definition)4",,Robbery,,Aggravated assault,,Property crime,,Burglary,,Larceny-theft,,Motor vehicle theft,,,,
,,, ,"Rate per 
100,000",,"Rate per 
100,000",,"Rate per 
100,000",,"Rate per 
100,000",,"Rate per 
100,000",,"Rate per 
100,000",,"Rate per 
100,000",,"Rate per 
100,000",,"Rate per 
100,000",,, 
"United States Total5, 6, 7",2018,"326,687,501","1,252,399",383.4,"16,374",5,"143,765",44,"281,278",86.1,"810,982",248.2,"7,219,084","2,209.80","1,235,013",378,"5,232,167","1,601.60","751,904",230.2,, ,
,2019,"328,239,523","1,245,410",379.4,"16,425",5,"139,815",42.6,"267,988",81.6,"821,182",250.2,"6,925,677","2,109.90","1,117,696",340.5,"5,086,096","1,549.50","721,885",219.9,,,
,Percent change,,-0.6,-1,0.3,-0.2,-2.7,-3.2,-4.7,-5.2,1.3,0.8,-4.1,-4.5,-9.5,-9.9,-2.8,-3.3,-4,-4.4,,,
Northeast,2018,"56,046,620","164,441",293.4,"1,926",3.4,"17,674",31.5,"41,794",74.6,"103,047",183.9,"805,583","1,437.30","108,455",193.5,"642,548","1,146.50","54,580",97.4, ,,
,2019,"55,982,803","163,717",292.4,"1,834",3.3,"17,315",30.9,"40,073",71.6,"104,495",186.7,"755,968","1,350.40","93,798",167.5,"611,369","1,092.10","50,801",90.7,,,
,Percent change,,-0.4,-0.3,-4.8,-4.7,-2,-1.9,-4.1,-4,1.4,1.5,-6.2,-6.1,-13.5,-13.4,-4.9,-4.7,-6.9,-6.8,, ,
New England,2018,"14,829,322","38,294",258.2,295,2,"5,183",35,"7,385",49.8,"25,431",171.5,"208,252","1,404.30","31,011",209.1,"159,978","1,078.80","17,263",116.4,, ,
,2019,"14,845,063","36,350",244.9,345,2.3,"4,850",32.7,"6,532",44,"24,623",165.9,"190,511","1,283.30","26,445",178.1,"148,695","1,001.60","15,371",103.5,,,
,Percent change, ,-5.1,-5.2,16.9,16.8,-6.4,-6.5,-11.6,-11.6,-3.2,-3.3,-8.5,-8.6,-14.7,-14.8,-7.1,-7.2,-11,-11.1,,,
     Connecticut,2018,"3,571,520","7,485",209.6,86,2.4,873,24.4,"2,205",61.7,"4,321",121,"59,356","1,661.90","7,983",223.5,"44,181","1,237.00","7,192",201.4,,,
,2019,"3,565,287","6,546",183.6,104,2.9,771,21.6,"1,929",54.1,"3,742",105,"50,862","1,426.60","6,441",180.7,"38,457","1,078.70","5,964",167.3,,,
,Percent change,,-12.5,-12.4,20.9,21.1,-11.7,-11.5,-12.5,-12.4,-13.4,-13.2,-14.3,-14.2,-19.3,-19.2,-13,-12.8,-17.1,-16.9,,,
     Maine,2018,"1,339,057","1,500",112,23,1.7,447,33.4,228,17,802,59.9,"18,201","1,359.20","2,712",202.5,"14,712","1,098.70",777,58,,,
,2019,"1,344,212","1,548",115.2,20,1.5,516,38.4,188,14,824,61.3,"16,743","1,245.60","2,350",174.8,"13,667","1,016.70",726,54,,,
,Percent change,,3.2,2.8,-13,-13.4,15.4,15,-17.5,-17.9,2.7,2.3,-8,-8.4,-13.3,-13.7,-7.1,-7.5,-6.6,-6.9,,,
     Massachusetts,2018,"6,882,635","23,424",340.3,138,2,"2,465",35.8,"4,084",59.3,"16,737",243.2,"87,658","1,273.60","14,095",204.8,"66,968",973,"6,595",95.8,,,
,2019,"6,892,503","22,578",327.6,152,2.2,"2,204",32,"3,613",52.4,"16,609",241,"81,317","1,179.80","12,341",179,"62,844",911.8,"6,132",89,,,
,Percent change,,-3.6,-3.7,10.1,10,-10.6,-10.7,-11.5,-11.7,-0.8,-0.9,-7.2,-7.4,-12.4,-12.6,-6.2,-6.3,-7,-7.2, ,,
     New Hampshire,2018,"1,353,465","2,404",177.6,21,1.6,578,42.7,342,25.3,"1,463",108.1,"17,201","1,270.90","1,908",141,"14,396","1,063.60",897,66.3,,,
,2019,"1,359,711","2,074",152.5,33,2.4,590,43.4,313,23,"1,138",83.7,"16,442","1,209.20","1,717",126.3,"13,832","1,017.30",893,65.7,,,
,Percent change,,-13.7,-14.1,57.1,56.4,2.1,1.6,-8.5,-8.9,-22.2,-22.6,-4.4,-4.9,-10,-10.4,-3.9,-4.4,-0.4,-0.9,,,
     Rhode Island,2018,"1,058,287","2,326",219.8,16,1.5,494,46.7,453,42.8,"1,363",128.8,"17,625","1,665.40","2,817",266.2,"13,270","1,253.90","1,538",145.3,,,
,2019,"1,059,361","2,342",221.1,25,2.4,491,46.3,418,39.5,"1,408",132.9,"16,259","1,534.80","2,321",219.1,"12,580","1,187.50","1,358",128.2,,,
,Percent change, ,0.7,0.6,56.3,56.1,-0.6,-0.7,-7.7,-7.8,3.3,3.2,-7.8,-7.8,-17.6,-17.7,-5.2,-5.3,-11.7,-11.8,,,
     Vermont,2018,"624,358","1,155",185,11,1.8,326,52.2,73,11.7,745,119.3,"8,211","1,315.10","1,496",239.6,"6,451","1,033.20",264,42.3,,,
,2019,"623,989","1,262",202.2,11,1.8,278,44.6,71,11.4,902,144.6,"8,888","1,424.40","1,275",204.3,"7,315","1,172.30",298,47.8,,,
,Percent change,,9.3,9.3,0,0.1,-14.7,-14.7,-2.7,-2.7,21.1,21.1,8.2,8.3,-14.8,-14.7,13.4,13.5,12.9,12.9,,,
Middle Atlantic,2018,"41,217,298","126,147",306.1,"1,631",4,"12,491",30.3,"34,409",83.5,"77,616",188.3,"597,331","1,449.20","77,444",187.9,"482,570","1,170.80","37,317",90.5,,,
,2019,"41,137,740","127,367",309.6,"1,489",3.6,"12,465",30.3,"33,541",81.5,"79,872",194.2,"565,457","1,374.50","67,353",163.7,"462,674","1,124.70","35,430",86.1,,,
,Percent change,,1,1.2,-8.7,-8.5,-0.2,*,-2.5,-2.3,2.9,3.1,-5.3,-5.2,-13,-12.9,-4.1,-3.9,-5.1,-4.9,,,
     New Jersey,2018,"8,886,025","18,536",208.6,285,3.2,"1,424",16,"6,364",71.6,"10,463",117.7,"125,155","1,408.40","19,232",216.4,"94,886","1,067.80","11,037",124.2,,,
,2019,"8,882,190","18,375",206.9,262,2.9,"1,531",17.2,"5,730",64.5,"10,852",122.2,"118,637","1,335.70","16,399",184.6,"91,902","1,034.70","10,336",116.4,,,
,Percent change,,-0.9,-0.8,-8.1,-8,7.5,7.6,-10,-9.9,3.7,3.8,-5.2,-5.2,-14.7,-14.7,-3.1,-3.1,-6.4,-6.3,,,
     New York,2018,"19,530,351","68,512",350.8,562,2.9,"6,577",33.7,"18,191",93.1,"43,182",221.1,"281,543","1,441.60","31,158",159.5,"237,243","1,214.70","13,142",67.3,,,
,2019,"19,453,561","69,764",358.6,558,2.9,"6,583",33.8,"18,068",92.9,"44,555",229,"267,155","1,373.30","27,600",141.9,"226,851","1,166.10","12,704",65.3,,,
,Percent change, ,1.8,2.2,-0.7,-0.3,0.1,0.5,-0.7,-0.3,3.2,3.6,-5.1,-4.7,-11.4,-11.1,-4.4,-4,-3.3,-3,,,
