State,City,Year,Population1,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Arson
Alabama,Mobile2,2020,243900,,,,,,,,,,
Alabama,Mobile,2021,,5275,87,442,410,4336,23812,4167,16834,2811,35
Arizona,Chandler,2020,264071,543,9,123,104,307,4898,505,3956,437,16
Arizona,Chandler,2021,,528,7,79,84,358,4777,541,3848,388,22
Arizona,Gilbert,2020,259629,291,4,52,40,195,2812,397,2264,151,10
Arizona,Gilbert,2021,,319,3,67,36,213,2894,381,2335,178,8
Arizona,Mesa,2020,527361,1971,19,240,378,1334,9752,1599,7137,1016,22
Arizona,Mesa,2021,,2015,24,274,322,1395,9894,1365,7471,1058,36
Arizona,Peoria,2020,178486,471,3,68,73,327,2683,431,2037,215,9
Arizona,Peoria,2021,,495,8,74,60,353,2826,415,2141,270,6
Arizona,Scottsdale,2020,263006,470,7,109,97,257,4945,683,3963,299,21
Arizona,Scottsdale,2021,,528,5,98,103,322,5740,675,4649,416,18
Arizona,Surprise,2020,144620,210,2,35,30,143,2007,170,1678,159,14
Arizona,Surprise,2021,,193,1,46,19,127,2153,202,1807,144,16
Arkansas,Little Rock,2020,197688,3661,47,201,376,3037,9606,1528,7066,1012,70
Arkansas,Little Rock,2021,,4091,62,252,397,3380,10615,1970,7594,1051,93
California,Carlsbad,2020,116516,224,3,24,35,162,1841,256,1428,157,9
California,Carlsbad,2021,,233,2,26,40,165,2024,276,1540,208,18
California,Chula Vista,2020,278027,916,10,63,302,541,3257,476,2021,760,67
California,Chula Vista,2021,,869,6,41,249,573,3311,395,1979,937,50
California,El Cajon,2020,103035,512,5,33,113,361,1846,288,1203,355,41
California,El Cajon,2021,,523,2,42,113,366,1852,258,1176,418,26
California,Escondido,2020,152446,569,5,51,118,395,2699,400,1865,434,23
California,Escondido,2021,,545,3,27,140,375,2629,330,1732,567,30
California,Oceanside,2020,176616,717,4,73,139,501,3181,426,2336,419,48
California,Oceanside,2021,,769,6,83,163,517,3334,426,2422,486,40
California,San Diego,2020,1437608,5303,56,485,1207,3555,24321,3324,16044,4953,222
California,San Diego,2021,,5381,62,435,1038,3846,26282,3278,16557,6447,149
Colorado,Arvada,2020,122983,284,6,29,75,174,3913,487,2860,566,19
Colorado,Arvada,2021,,343,3,32,87,221,4225,430,2938,857,17
Colorado,Aurora,2020,385720,3478,39,402,775,2262,13108,1761,7414,3933,167
